Year,Industry,Value
2018,"Water supply; sewerage, waste management",60595
2018,Construction,485582.9
2018,Wholesale and retail trade,669179.4
2018,Transportation and storage,723204.9
2018,Land transport,495966.4
2018,Air transport including support service,39047.2
2018,All other transport including postal and courier activities,188191.3
2018,Accommodation and food service activities,66827.2
2018,Information and communication,115102.9
2018,Telecommunications,69892.9
2018,"Publishing, broadcasting, other IT and information activities",45210
2018,Financial and insurance activities,563069
2018,Financial activities,446882.7
2018,Insurance activities,116186.3
2018,Real estate,625859.4
2018,"Professional, scientific and technical activities",71116.1
2018,Administrative and support service activities,79359.6
2018,Public administration and defence,299319.8
2018,Education,385263.4
2018,Pre-primary and Primary education,196561.8
2018,General secondary education,103640.4
2018,Higher and other education,85061.1
2018,Human health and social work activities,133994.4
2018,"Arts, entertainment and recreation",10826.5
2018,Other service activities,54475.5
2018,Activities of households as employers,37836.8
2018,Financial Intermediation Services Indirectly Measured (FISIM),-181156.5
2018,All economic activities,8145120.6
2018,Taxes on products,746990.4
2018,GDP at market prices,8892110.9
2019,"Agriculture, forestry and fishing",3326299.2
2019,Growing of crops,2709493.6
2019,Animal production,389038.1
2019,Support activities to agriculture,53309.9
2019,Forestry & logging,125642.6
2019,Fishing & aquaculture,48815
2019,Mining and quarrying,67329.6
2019,Manufacturing,734609.1
2019,"Manufacture of food, beverages and tobacco",289282.1
2019,Other manufacturing and repair and installation,445326.9
2019,Electricity supply,163642.7
2019,"Water supply; sewerage, waste management",65377.4
2019,Construction,541760.4
2019,Wholesale and retail trade,740411.2
2019,Transportation and storage,830582.2
2019,Land transport,570302.1
2019,Air transport including support service,38370.8
2019,All other transport including postal and courier activities,221909.3
2019,Accommodation and food service activities,71811
2019,Information and communication,116355.1
2019,Telecommunications,68846.6
2019,"Publishing, broadcasting, other IT and information activities",47508.5
2019,Financial and insurance activities,582926.1
2019,Financial activities,463578.8
2019,Insurance activities,119347.3
2019,Real estate,675302.3
2019,"Professional, scientific and technical activities",77869
2019,Administrative and support service activities,85047.8
2019,Public administration and defence,352859
2019,Education,413611.4
2019,Pre-primary and Primary education,204072.7
2019,General secondary education,123480.3
2019,Higher and other education,86058.4
2019,Human health and social work activities,149483.2
2019,"Arts, entertainment and recreation",11734.9
2019,Other service activities,62126.4
2019,Activities of households as employers,39743.3
2019,Financial Intermediation Services Indirectly Measured (FISIM),-197428.8
2019,All economic activities,8911452.5
2019,Taxes on products,828907.5
2019,GDP at market prices,9740360
